Model,Model_Params,Cost_Matrix_Value,Optimizer,Optimizer_Params,Accuracy,Precision,Recall,F1-score,MCC,Avg_ROI,TP_positions,total_positions,positive_positions
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 128, 'num_layers': 4}",0.3,RMSprop,{'lr': 0.001},0.532388664,0.327205882,0.649635036,0.435207824,0.123324423,0.008502933,89,272,156
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 3}",0.2,Adam,{'lr': 0.001},0.51417004,0.312727273,0.627737226,0.417475728,0.088607806,0.008472513,86,275,157
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 3}",0.4,RMSprop,{'lr': 0.01},0.455465587,0.311428571,0.795620438,0.447638604,0.118753882,0.008428449,109,350,199
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 128, 'num_layers': 2}",1.627659574,Adam,{'lr': 0.001},0.649797571,0.333333333,0.262773723,0.293877551,0.066172977,0.008356932,36,108,61
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 32, 'num_layers': 2}",0.3,Adam,{'lr': 0.01},0.692307692,0.317073171,0.094890511,0.146067416,0.026709174,0.008220356,13,41,24
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 128, 'num_layers': 4}",0.3,Adam,{'lr': 0.01},0.582995951,0.336492891,0.518248175,0.408045977,0.114115625,0.008212467,71,211,134
LSTM,"{'dropout_rate': 0.3, 'hidden_dim': 128, 'num_layers': 2}",0.3,Adam,{'lr': 0.001},0.613360324,0.344827586,0.437956204,0.38585209,0.111181805,0.00820537,60,174,91
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 128, 'num_layers': 2}",0.2,Adam,{'lr': 0.001},0.615384615,0.297709924,0.284671533,0.291044776,0.027350259,0.008173355,39,131,72
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 64, 'num_layers': 2}",1.627659574,RMSprop,{'lr': 0.001},0.431174089,0.319095477,0.927007299,0.474766355,0.189966664,0.008162326,127,398,226
LSTM,"{'dropout_rate': 0.1, 'hidden_dim': 32, 'num_layers': 4}",0.4,RMSprop,{'lr': 0.001},0.591093117,0.331606218,0.467153285,0.387878788,0.09708543,0.008097686,64,193,104
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 128, 'num_layers': 2}",1.627659574,RMSprop,{'lr': 0.001},0.510121457,0.31316726,0.642335766,0.421052632,0.091950847,0.008096628,88,281,154
ResNet,{},0.4,Adam,{'lr': 0.01},0.504048583,0.316326531,0.678832117,0.431554524,0.105618547,0.008085167,93,294,182
LSTM,"{'dropout_rate': 0.5, 'hidden_dim': 128, 'num_layers': 4}",0.3,Adam,{'lr': 0.001},0.599190283,0.325714286,0.416058394,0.365384615,0.080053276,0.008082003,57,175,104
