Model,Model_Params,Loss_Function,Optimizer,Optimizer_Params,Accuracy,Precision,Recall,F1-score,MCC,Avg_ROI,TP_positions,total_positions,positive_positions
MLP,{'dropout_rate': 0.1},MSELoss,SGD,"{'lr': 0.01, 'momentum': 0.9}",0.6740890688259109,0.2692307692307692,0.10218978102189781,0.14814814814814814,-0.006203776407127647,0.003498952632011298,14,52,25
MLP,{'dropout_rate': 0.1},MSELoss,Adam,{'lr': 0.001},0.6376518218623481,0.2717391304347826,0.18248175182481752,0.2183406113537118,-0.005972173069191432,0.0006008975642841108,25,92,40
MLP,{'dropout_rate': 0.1},MSELoss,Adam,{'lr': 0.01},0.4230769230769231,0.12626262626262627,0.18248175182481752,0.1492537313432836,-0.27598408597613877,-0.00431468584302824,25,198,77
MLP,{'dropout_rate': 0.1},MSELoss,RMSprop,{'lr': 0.001},0.5141700404858299,0.24120603015075376,0.35036496350364965,0.28571428571428575,-0.06627026915542603,0.0018846759066290298,48,199,94
MLP,{'dropout_rate': 0.1},MSELoss,RMSprop,{'lr': 0.01},0.708502024291498,0.0,0.0,0.0,-0.0742695367283227,-0.016394490014225684,0,7,2
MLP,{'dropout_rate': 0.1},FocalLoss,SGD,"{'lr': 0.01, 'momentum': 0.9}",0.43724696356275305,0.26885245901639343,0.5985401459854015,0.3710407239819004,-0.024050033401276403,0.0041555271476466475,82,305,150
MLP,{'dropout_rate': 0.1},FocalLoss,Adam,{'lr': 0.001},0.7206477732793523,0.3333333333333333,0.0072992700729927005,0.014285714285714285,0.009778727124854888,0.003677263569914,1,3,2
MLP,{'dropout_rate': 0.1},FocalLoss,Adam,{'lr': 0.01},0.7044534412955465,0.2631578947368421,0.0364963503649635,0.0641025641025641,-0.006330436314359067,0.0009834434345441104,5,19,10
MLP,{'dropout_rate': 0.1},FocalLoss,RMSprop,{'lr': 0.001},0.29554655870445345,0.2740899357601713,0.9343065693430657,0.423841059602649,-0.030080557970911023,0.004774201324527325,128,467,238
MLP,{'dropout_rate': 0.1},FocalLoss,RMSprop,{'lr': 0.01},0.7226720647773279,0.0,0.0,0.0,0.0,0.0,0,0,0
MLP,{'dropout_rate': 0.1},HingeEmbeddingLoss,SGD,"{'lr': 0.01, 'momentum': 0.9}",0.7226720647773279,0.0,0.0,0.0,0.0,0.0,0,0,0
MLP,{'dropout_rate': 0.1},HingeEmbeddingLoss,Adam,{'lr': 0.001},0.7226720647773279,0.0,0.0,0.0,0.0,0.0,0,0,0
MLP,{'dropout_rate': 0.1},HingeEmbeddingLoss,Adam,{'lr': 0.01},0.7226720647773279,0.0,0.0,0.0,0.0,0.0,0,0,0
MLP,{'dropout_rate': 0.1},HingeEmbeddingLoss,RMSprop,{'lr': 0.001},0.7226720647773279,0.0,0.0,0.0,0.0,0.0,0,0,0
MLP,{'dropout_rate': 0.1},HingeEmbeddingLoss,RMSprop,{'lr': 0.01},0.7226720647773279,0.0,0.0,0.0,0.0,0.0,0,0,0
MLP,{'dropout_rate': 0.3},CostSensitiveLoss,SGD,"{'lr': 0.01, 'momentum': 0.9}",0.7165991902834008,0.2,0.0072992700729927005,0.014084507042253521,-0.017466244844974672,0.00136163085796072,1,5,3
MLP,{'dropout_rate': 0.3},CostSensitiveLoss,Adam,{'lr': 0.001},0.6376518218623481,0.24390243902439024,0.145985401459854,0.182648401826484,-0.03330954792434445,-0.0001351699532043508,20,82,36
MLP,{'dropout_rate': 0.3},CostSensitiveLoss,Adam,{'lr': 0.01},0.7206477732793523,0.0,0.0,0.0,-0.027899904447063875,-0.0112909499118378,0,1,0
MLP,{'dropout_rate': 0.3},CostSensitiveLoss,RMSprop,{'lr': 0.001},0.5688259109311741,0.2564102564102564,0.291970802919708,0.27303754266211605,-0.03174314818582509,0.0036533659243405724,40,156,76
MLP,{'dropout_rate': 0.3},CostSensitiveLoss,RMSprop,{'lr': 0.01},0.24898785425101214,0.2411504424778761,0.7956204379562044,0.37011884550084884,-0.26510358124652517,0.0020551254282044386,109,452,219
MLP,{'dropout_rate': 0.3},BCELoss,SGD,"{'lr': 0.01, 'momentum': 0.9}",0.6214574898785425,0.23404255319148937,0.16058394160583941,0.19047619047619047,-0.046871380323441014,0.002162803796978746,22,94,47
MLP,{'dropout_rate': 0.3},BCELoss,Adam,{'lr': 0.001},0.680161943319838,0.1111111111111111,0.021897810218978103,0.03658536585365854,-0.08927523028314556,-0.00679071720260218,3,27,11
MLP,{'dropout_rate': 0.3},BCELoss,Adam,{'lr': 0.01},0.5668016194331984,0.21897810218978103,0.21897810218978103,0.21897810218978103,-0.08074178576540104,0.0001135858078258977,30,137,68
MLP,{'dropout_rate': 0.3},BCELoss,RMSprop,{'lr': 0.001},0.6862348178137652,0.17857142857142858,0.0364963503649635,0.06060606060606061,-0.05407348166666538,-0.003671900995900604,5,28,10
MLP,{'dropout_rate': 0.3},BCELoss,RMSprop,{'lr': 0.01},0.4817813765182186,0.16759776536312848,0.21897810218978103,0.189873417721519,-0.18476931441279648,-0.0036687056054897347,30,179,71
MLP,{'dropout_rate': 0.3},MSELoss,SGD,"{'lr': 0.01, 'momentum': 0.9}",0.46558704453441296,0.2490118577075099,0.45985401459854014,0.3230769230769231,-0.06480632420904293,0.0028751549440617463,63,253,127
MLP,{'dropout_rate': 0.3},MSELoss,Adam,{'lr': 0.001},0.5,0.26495726495726496,0.45255474452554745,0.3342318059299191,-0.026214829844783287,0.0035577295907695964,62,234,121
MLP,{'dropout_rate': 0.3},MSELoss,Adam,{'lr': 0.01},0.6639676113360324,0.1282051282051282,0.0364963503649635,0.05681818181818181,-0.09752214219116939,-0.00418369405929149,5,39,17
MLP,{'dropout_rate': 0.3},MSELoss,RMSprop,{'lr': 0.001},0.5566801619433198,0.24691358024691357,0.291970802919708,0.26755852842809363,-0.047456929230595905,0.003853433771643172,40,162,87
MLP,{'dropout_rate': 0.3},MSELoss,RMSprop,{'lr': 0.01},0.7246963562753036,1.0,0.0072992700729927005,0.014492753623188404,0.07270267071242192,0.0251649288746107,1,1,1
MLP,{'dropout_rate': 0.3},FocalLoss,SGD,"{'lr': 0.01, 'momentum': 0.9}",0.6417004048582996,0.2872340425531915,0.19708029197080293,0.23376623376623382,0.010726783556608391,0.003639796990691681,27,94,49
MLP,{'dropout_rate': 0.3},FocalLoss,Adam,{'lr': 0.001},0.7246963562753036,0.5555555555555556,0.0364963503649635,0.0684931506849315,0.084660959062791,0.012508174005867699,5,9,6
